"coexpression","coexpression_transferred","combined_score","cooccurence","database","database_transferred","experiments","experiments_transferred","fusion","homology","interaction","name","neighborhood","neighborhood_transferred","protein1","protein2","selected","shared interaction","shared name","textmining","textmining_transferred"
"64","0","299","0","0","0","0","0","0","0","interacts with","FCGR2A (interacts with) BST2","0","0","9606.ENSP00000271450","9606.ENSP00000252593","false","interacts with","FCGR2A (interacts with) BST2","282","0"
"199","63","290","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) LCP1","0","0","9606.ENSP00000353099","9606.ENSP00000381581","false","interacts with","HLA-DRB1 (interacts with) LCP1","73","101"
"250","0","250","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) DOK2","0","0","9606.ENSP00000315474","9606.ENSP00000276420","false","interacts with","GIMAP7 (interacts with) DOK2","0","0"
"175","62","203","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) DOK2","0","0","9606.ENSP00000353099","9606.ENSP00000276420","false","interacts with","HLA-DRB1 (interacts with) DOK2","0","53"
"161","0","161","0","0","0","0","0","0","0","interacts with","CLEC4A (interacts with) GIMAP7","0","0","9606.ENSP00000229332","9606.ENSP00000315474","false","interacts with","CLEC4A (interacts with) GIMAP7","0","0"
"0","0","191","0","0","0","0","0","0","0","interacts with","SDHC (interacts with) ISG15","0","0","9606.ENSP00000356953","9606.ENSP00000368699","false","interacts with","SDHC (interacts with) ISG15","177","58"
"0","0","263","0","0","0","0","0","0","0","interacts with","LILRB1 (interacts with) BST2","0","0","9606.ENSP00000315997","9606.ENSP00000252593","false","interacts with","LILRB1 (interacts with) BST2","263","0"
"314","0","313","0","0","0","0","0","0","0","interacts with","CSF1R (interacts with) GIMAP7","0","0","9606.ENSP00000286301","9606.ENSP00000315474","false","interacts with","CSF1R (interacts with) GIMAP7","0","0"
"133","53","357","0","0","0","0","0","0","0","interacts with","MYO1G (interacts with) GIMAP7","0","0","9606.ENSP00000258787","9606.ENSP00000315474","false","interacts with","MYO1G (interacts with) GIMAP7","174","165"
"141","0","159","0","0","0","0","0","0","0","interacts with","ARHGDIB (interacts with) BST2","0","0","9606.ENSP00000228945","9606.ENSP00000252593","false","interacts with","ARHGDIB (interacts with) BST2","0","62"
"213","62","241","0","0","0","0","0","0","0","interacts with","CST7 (interacts with) GIMAP7","0","0","9606.ENSP00000420384","9606.ENSP00000315474","false","interacts with","CST7 (interacts with) GIMAP7","49","47"
"0","63","246","0","0","0","0","137","0","0","interacts with","LCP1 (interacts with) ISG15","0","0","9606.ENSP00000381581","9606.ENSP00000368699","false","interacts with","LCP1 (interacts with) ISG15","95","92"
"158","108","216","0","0","0","0","0","0","0","interacts with","GRAP2 (interacts with) TAGAP","0","0","9606.ENSP00000339186","9606.ENSP00000356033","false","interacts with","GRAP2 (interacts with) TAGAP","0","0"
"301","66","723","0","0","0","0","0","0","0","interacts with","RGS1 (interacts with) TAGAP","0","0","9606.ENSP00000356429","9606.ENSP00000356033","false","interacts with","RGS1 (interacts with) TAGAP","611","0"
